Sample_ID,Year,Crop_Type,Yield_t_ha,Residue_to_Product_Ratio,Residue_Quantity_t,Regional_Adjustment,Moisture_%,Calorific_Value_MJ_kg,Predicted_Energy_MJ
53,2022,Wheat,3.288,1.668,5.2211,0.952,,17.996,79526.83
54,2022,Cotton,0.378,6.162,2.5319,1.087,22.26,17.564,34571.2
55,2021,Wheat,3.113,1.635,5.1966,1.021,17.71,16.726,71525.1
56,2020,Cotton,0.318,6.389,2.1069,1.037,28.02,17.66,26782.21
57,2022,Wheat,3.098,1.687,5.5451,1.061,17.24,16.367,75110.2
58,2024,Sugarcane,87.758,0.37,33.4121,1.029,45.43,19.668,358606.31
59,2020,Sugarcane,77.51,0.346,27.7035,1.033,46.28,19.273,286826.96
60,2024,Sugarcane,85.481,0.364,33.8843,1.089,42.49,17.051,332270.47
61,2020,Rice,3.796,1.837,6.4433,0.924,15.88,15.213,82456.04
62,2020,Sugarcane,80.034,0.354,27.9637,0.987,48.9,19.414,277415.4
63,2023,Cotton,0.388,5.935,2.2153,0.962,20.07,17.364,30746.25
64,2023,Cotton,0.543,5.722,3.0822,0.992,21.73,17.808,42960.69
65,2020,Rice,3.642,1.668,5.8987,0.971,20.11,15.478,72939.63
66,2024,Wheat,3.357,1.579,4.8448,0.914,16.16,17.905,72727.97
67,2020,Maize,3.237,2.279,6.6542,0.902,22.66,16.73,86098.57
68,2024,Wheat,3.505,1.68,5.8648,0.996,20.85,17.457,81035.21
69,2020,Rice,3.523,1.743,5.8827,0.958,19.08,15.403,73322.61
70,2023,Sugarcane,84.175,0.344,26.6687,0.921,46.06,,292031.85
71,2022,Cotton,0.402,6.204,2.716,1.089,24.23,17.624,36268.66
72,2020,Wheat,3.373,1.641,5.5296,0.999,,17.037,75045.93
73,2022,Cotton,0.528,5.835,2.9268,0.95,25.07,18.007,39490.27
74,2020,Maize,3.325,2.258,7.1625,0.954,21.29,17.212,97034.44
75,2023,Rice,3.497,1.711,6.468,1.081,21.08,15.879,81055.08
76,2024,Rice,4.028,1.654,7.0354,1.056,25.48,14.949,78374.32
77,2021,Maize,3.093,2.299,7.0895,0.997,11.96,17.126,106893.57
78,2020,Wheat,3.279,1.67,5.1748,0.945,16.5,17.387,75128.5
79,2022,Maize,3.264,2.353,7.1656,0.933,17.95,16.828,98938.12
80,2021,Sugarcane,77.426,0.363,26.2507,0.934,49.46,19.293,255962.23
81,2024,Rice,3.798,1.662,6.186,0.98,23.29,14.744,69964.42
82,2022,Wheat,3.282,1.668,5.4799,1.001,16.42,17.289,79185.36
83,2024,Rice,3.847,1.726,7.2309,1.089,15.65,16.014,97673.62
84,2023,Rice,3.656,1.837,6.9847,1.04,18.77,15.226,86387.33
85,2023,Cotton,0.554,5.918,3.4884,1.064,25.98,,45829.94
86,2022,Maize,3.428,2.257,7.0252,0.908,22.32,16.161,88193.41
87,2022,Sugarcane,82.697,0.353,28.4039,0.973,52.86,19.676,263453.74
88,2022,Maize,3.349,2.221,7.8175,1.051,18.21,17.372,111075.41
89,2022,Maize,3.321,2.275,7.0944,0.939,16.38,15.939,94555.52
90,2023,Cotton,0.505,6.084,3.0724,1,21.86,17.196,41283.7
91,2023,Cotton,0.538,5.909,3.3126,1.042,32.13,17.823,40070.77
92,2024,Maize,3.579,2.338,8.6104,1.029,22.01,16.34,109727.2
93,2022,Maize,3.35,2.253,7.9702,1.056,18.19,17.102,111512.23
94,2023,Rice,3.713,1.758,6.0509,0.927,19.43,15.064,73440.17
95,2023,Rice,4.016,1.694,7.1909,1.057,22.23,14.264,79769.46
96,2020,Wheat,3.631,1.686,6.6728,1.09,19.63,17.259,92558.8
97,2024,Maize,3.675,2.342,8.6929,1.01,25.82,17.228,111092.92
98,2022,Maize,3.703,2.27,8.0275,0.955,17.01,16.718,111375.69
99,2022,Cotton,0.546,6.208,3.2743,0.966,22.3,16.581,42184.24
100,2024,Cotton,0.596,5.953,3.509,0.989,30.54,17.538,42746.27
101,2020,Wheat,3.244,1.686,5.803,1.061,14.78,17.493,86508.42
102,2020,Maize,3.021,2.316,6.5489,0.936,24.55,17.261,85289.1
103,2021,Sugarcane,80.504,0.37,31.7524,1.066,46.91,21.656,365062.75
104,2024,Wheat,3.735,1.583,6.0603,1.025,16.67,17.191,86815.37
105,2020,Sugarcane,79.027,0.358,29.3667,1.038,46.93,19.276,300414.68
106,2021,Sugarcane,82.696,0.366,30.297,1.001,56.13,21.568,286666.63
107,2021,Cotton,0.406,5.787,2.3636,1.006,24.11,15.824,28384.08
108,2022,Rice,3.646,1.709,6.0628,0.973,19.53,15.033,73342.03
109,2021,Wheat,3.123,1.63,4.9683,0.976,19.34,16.993,68098.27
110,2023,Cotton,0.534,5.97,2.9074,0.912,18.42,18.319,43450.05
111,2023,Maize,3.557,2.267,8.6846,1.077,,16.598,116081.57
112,2020,Maize,3.401,2.318,7.6785,0.974,16.34,16.14,103680.67
113,2022,Rice,3.81,1.699,6.9263,1.07,19.88,14.069,78073.83
114,2023,Maize,3.393,2.258,7.1557,0.934,,17.551,100434.08
115,2021,Wheat,3.074,1.609,5.2379,1.059,16.05,16.817,73948
116,2023,Cotton,0.523,5.808,3.1348,1.032,31.5,17.574,37737.32
117,2023,Maize,3.346,2.258,8.2428,1.091,17.9,16.998,115031.22
118,2023,Maize,3.724,2.282,8.6936,1.023,18.56,17.559,124318.91
119,2020,Wheat,3.278,1.641,5.3846,1.001,14.85,17.78,81521.07
120,2023,Sugarcane,80.564,0.375,33.0816,1.095,57.5,19.522,274473.07
121,2024,Wheat,3.587,1.594,5.8606,1.025,22.25,17.596,80178.22
122,2024,Rice,3.827,1.78,6.4987,0.954,23.38,16.81,83702.1
123,2023,Sugarcane,77.892,0.362,30.9602,1.098,48.39,19.56,312540.62
124,2021,Cotton,0.523,5.646,2.7432,0.929,23.16,17.7,37309.39
125,2021,Cotton,0.423,5.856,2.3582,0.952,25.85,17.602,30778.95
126,2020,Cotton,0.373,6.162,2.4248,1.055,28.96,15.974,27516.46
127,2024,Wheat,3.482,1.613,5.7625,1.026,14.3,16.76,82768.63
128,2023,Maize,3.532,2.343,8.3582,1.01,23.01,16.162,104002.12
129,2021,Maize,3.487,2.299,7.5276,0.939,20.74,17.521,104536.87
130,2021,Cotton,0.45,6.117,2.549,0.926,22.67,17.488,34471.33
131,2021,Wheat,3.076,1.696,5.7282,1.098,18.26,,83531
132,2021,Sugarcane,80.751,0.35,26.6519,0.943,47.51,21.418,299628.87
133,2020,Cotton,0.518,6.057,2.9304,0.934,34.84,16.973,32409.07
134,2020,Wheat,3.505,1.724,6.6106,1.094,,17.81,96271.73
135,2024,Wheat,3.421,1.621,5.2127,0.94,15.9,17.183,75328.22
136,2020,Rice,3.645,1.753,5.8721,0.919,14.46,14.852,74601.51
137,2020,Cotton,0.578,6.005,3.2626,0.94,26.33,16.736,40225.94
138,2024,Wheat,3.435,1.662,5.6348,0.987,14.23,17.868,86355.47
139,2021,Sugarcane,79.019,0.329,24.4374,0.94,47.82,20.33,259236.68
140,2024,Wheat,3.369,1.629,6.0259,1.098,15.37,17.623,89872.35
141,2021,Maize,3.473,2.327,7.4594,0.923,22.45,18.093,104663.75
142,2022,Rice,4.024,1.663,6.9194,1.034,21.82,15.659,84708.72
143,2022,Rice,3.551,1.681,5.8976,0.988,22.07,15.413,70838.14
144,2022,Wheat,3.258,1.623,5.182,0.98,19.68,17.529,72958.9
145,2020,Sugarcane,73.541,0.355,24.619,0.943,46.12,19.969,264883.14
146,2020,Sugarcane,76.507,0.351,24.464,0.911,44.8,18.709,252648.73
147,2022,Cotton,0.353,6.04,1.9978,0.937,28.66,17.881,25484.55
148,2021,Wheat,3.196,1.672,4.9643,0.929,18.44,16.073,65077.7
149,2024,Wheat,3.364,1.587,5.0237,0.941,17.88,16.782,69233.51
150,2020,Wheat,3.031,1.647,4.9172,0.985,15.73,17.417,72171.25
151,2022,Sugarcane,80.515,0.357,30.6984,1.068,49.14,21.956,342803.56
152,2023,Cotton,0.513,5.998,3.3662,1.094,26.27,17.498,43428.27
153,2024,Sugarcane,83.3,0.37,33.6874,1.093,46.22,,388738.27
154,2022,Cotton,0.428,5.771,2.6997,1.093,19.18,18.22,39754.17
155,2020,Rice,3.693,1.614,6.4373,1.08,20.99,15.126,76932.51
156,2022,Sugarcane,81.162,0.346,28.2786,1.007,46.54,19.749,298560.24
157,2024,Cotton,0.453,5.907,2.5902,0.968,29.3,19.086,34951.65
158,2023,Sugarcane,84.093,0.364,28.4672,0.93,55.99,18.336,229721.01
159,2020,Sugarcane,80.75,0.347,28.6647,1.023,51.51,19.299,268246.7
160,2023,Cotton,0.591,5.829,3.1556,0.916,24.74,17.351,41206.97
161,2024,Maize,3.565,2.332,8.5713,1.031,21.66,16.112,108188.16
162,2021,Maize,3.104,2.376,6.8072,0.923,16.46,16.244,92375.32
163,2021,Rice,3.819,1.684,6.4955,1.01,19.84,15.106,78653.81
164,2021,Wheat,3.232,1.626,5.2395,0.997,19.76,16.645,69978.49
165,2022,Maize,3.363,2.363,8.209,1.033,21.22,17.056,110302.01
166,2022,Cotton,0.473,6.43,2.9836,0.981,23.63,17.132,39036.55
167,2021,Rice,3.953,1.677,6.9275,1.045,18.88,15.311,86041.51
168,2022,Maize,3.176,2.24,7.4202,1.043,22.53,,102092.1
169,2020,Cotton,0.429,5.931,2.6971,1.06,22.07,18.282,38426.02
170,2020,Wheat,3.019,1.633,4.6145,0.936,16.41,16.77,64686.26
171,2022,Sugarcane,81.559,0.359,30.7729,1.051,45,19.697,333373.6
172,2021,Rice,3.693,1.821,6.9536,1.034,,15.879,88885.05
173,2022,Wheat,3.679,1.636,6.1753,1.026,16.32,17.785,91903.83
174,2024,Rice,4.017,1.76,7.3669,1.042,12.87,16.047,103002.16
175,2024,Cotton,0.55,6.435,3.1924,0.902,27.76,17.711,40844.93
176,2021,Wheat,2.888,1.662,5.035,1.049,18.13,17.643,72727.17
177,2020,Sugarcane,78.067,0.362,26.2255,0.928,41.2,19.807,305435.71
178,2024,Maize,3.53,2.286,8.0373,0.996,17.86,17.475,115367.12
179,2021,Maize,3.346,2.378,8.3626,1.051,,17.082,109365.91
180,2022,Sugarcane,81.306,0.377,30.683,1.001,47.89,19.522,312135.53
181,2020,Rice,3.748,,6.7785,1.067,18.69,15.596,85958.89
182,2020,Wheat,3.168,1.689,5.8377,1.091,18.08,17.187,82192.42
183,2024,Cotton,0.594,5.716,3.4904,1.028,26.12,16.965,43747.77
184,2023,Sugarcane,81.936,0.357,27.3791,0.936,47.46,20.79,299063.72
185,2024,Sugarcane,85.707,0.355,33.4686,1.1,41.41,19.283,378125.22
186,2021,Cotton,0.35,6.177,2.0841,0.964,32.07,17.506,24783.75
187,2022,Maize,3.587,2.385,8.8202,1.031,21.05,16.969,118164.44
188,2020,Maize,3.069,2.385,7.8319,1.07,25.64,16.87,98247.52
189,2022,Wheat,3.158,1.764,5.5707,1,14.2,17.127,81861.25
190,2022,Cotton,0.457,6.214,2.8881,1.017,18.85,18.205,42666.93
191,2021,Rice,3.169,1.714,5.6,1.031,21.05,15.891,70257.29
192,2023,Rice,4.021,1.695,7.2586,1.065,20.4,16.03,92618.86
193,2024,Cotton,0.63,6.179,3.7604,0.966,24.7,17.518,49603.64
194,2021,Cotton,0.597,6.279,4.1047,1.095,23.48,17.529,55057.12
195,2021,Cotton,0.414,5.866,2.6034,1.072,21.26,18.179,37265.44
196,2024,Rice,3.851,1.752,6.2814,0.931,21.51,16.426,80984.63
197,2022,Cotton,0.495,6.096,3.108,1.03,17.49,17.168,44025.8
198,2020,Wheat,3.451,1.73,6.0837,1.019,22.32,17.529,82838.87
199,2021,Cotton,0.584,5.953,3.5078,1.009,30.85,17.691,42912.06
200,2023,Rice,3.533,,6.1486,1.013,,14.399,77298.77
201,2021,Rice,3.894,1.737,7.2982,1.079,16.85,14.734,89412.59
202,2022,Cotton,0.489,6.005,3.1655,1.078,24.73,17.428,41525.21
203,2023,Maize,3.206,2.322,7.0572,0.948,18.87,17.724,101478.87
204,2021,Maize,3.126,2.353,7.8483,1.067,,17.293,105834.96
205,2022,Wheat,3.198,1.636,4.8186,0.921,18.97,16.664,65064.78
206,2021,Cotton,0.411,6.253,2.3156,0.901,27.5,18.262,30658.43
207,2021,Rice,3.784,1.677,5.7746,0.91,20.49,16.493,75725.7
208,2020,Sugarcane,80.254,0.356,27.8562,0.975,45.89,19.089,287728.3
209,2023,Sugarcane,82.308,0.341,28.4319,1.013,47.75,21.766,323348.46
210,2020,Rice,3.546,1.704,6.4049,1.06,20.81,16.041,81360.6
211,2021,Cotton,0.469,6.378,2.9614,0.99,29.91,17.741,36824.02
212,2021,Sugarcane,85.157,0.392,32.981,0.988,43.27,20.67,386738.21
213,2023,Maize,3.353,2.259,8.0289,1.06,27.73,18.088,104955.37
214,2023,Rice,3.965,1.755,7.4248,1.067,23.6,15.176,86086.58
215,2023,Sugarcane,85.793,0.339,28.793,0.99,55.87,19.746,250899.6
216,2020,Maize,3.353,2.348,7.5422,0.958,15,16.543,106055.02
217,2024,Wheat,3.115,1.733,5.7384,1.063,18.06,16.892,79426.94
218,2020,Cotton,0.324,5.857,2.059,1.085,29.08,17.627,25739.7
219,2022,Sugarcane,83.265,0.36,32.883,1.097,47.28,18.199,315496.36
220,2022,Rice,3.762,1.61,5.542,0.915,19.48,15.239,68002.79
221,2020,Wheat,3.155,1.584,5.1574,1.032,16.42,17.318,74650.19
222,2023,Sugarcane,82.741,0.35,29.9729,1.035,39.69,20.26,366233.05
223,2024,Rice,4.125,1.792,7.769,1.051,20.88,15.135,93032.31
224,2022,Rice,3.833,1.827,6.3516,0.907,20.85,15.346,77148.81
225,2022,Rice,3.82,1.726,7.2065,1.093,17.01,15.412,92174.15
226,2022,Sugarcane,84.208,0.362,31.7636,1.042,52.12,19.039,289552.95
227,2022,Cotton,0.434,5.864,2.7918,1.097,28.61,16.191,32269.73
228,2024,Sugarcane,82.139,0.359,29.8712,1.013,52.44,20.812,295670.73
229,2022,Wheat,3.212,1.672,5.0751,0.945,18.56,17.233,71226.77
230,2022,Sugarcane,80.702,0.343,26.1583,0.945,61.26,20,202674.51
231,2020,Maize,3.56,2.331,7.8337,0.944,16.99,17.605,114480.99
232,2023,Wheat,3.209,,5.3097,1.022,18.97,,74742.16
233,2022,Maize,3.021,2.298,6.9492,1.001,,17.234,95007.6
234,2024,Rice,4.349,1.678,7.0203,0.962,15.66,16.603,98305.05
235,2023,Rice,3.723,1.608,5.7351,0.958,19.64,15.891,73237.27
236,2022,Rice,3.358,1.709,5.9397,1.035,,16.095,76125.86
237,2024,Sugarcane,84.855,0.369,32.9397,1.052,52.43,20.997,329010.71
238,2022,Cotton,0.495,6.019,3.1671,1.063,29.26,17.709,39675.36
239,2024,Cotton,0.55,5.743,2.9186,0.924,23.57,17.732,39554.52
240,2021,Cotton,0.508,6.056,3.1534,1.025,28.28,16.666,37692.13
241,2020,Wheat,3.4,1.687,6.0341,1.052,20.88,17.117,81719.64
242,2024,Sugarcane,80.813,0.363,26.5189,0.904,50.69,20.871,272919
243,2020,Rice,3.641,1.778,6.1047,0.943,19.92,15.218,74395.38
244,2022,Wheat,3.14,1.666,5.4562,1.043,20.09,18.115,78982.3
245,2020,Sugarcane,76.901,0.363,27.4963,0.985,54.55,19.318,241418.37
246,2020,Maize,3.093,2.278,7.5743,1.075,14.85,17.075,110125.49
247,2023,Sugarcane,83.578,0.355,31.0647,1.047,46.31,22.056,367864.03
248,2022,Rice,3.775,1.765,7.096,1.065,17.21,16.05,94290.19
249,2020,Cotton,0.35,6.204,2.1149,0.974,27.37,17.937,27552.16
